possessionTime_diff,turnovers_diff,yardsPerRushAttempt_diff,rushingYards_diff,yardsPerPass_diff,netPassingYards_diff,totalYards_diff,firstDowns_diff,tacklesForLoss_diff,sacks_diff,qbHurries_diff,passesDeflected_diff,thirdDown%_diff,home_win
118,1.0,-0.6999999999999993,8.0,-1.6000000000000003,-3.0,5.0,4.0,-2.0,0.0,3.0,2.0,-0.0512820512820512,0
654,3.0,1.1,36.0,-4.199999999999999,52.0,88.0,5.0,2.0,1.0,-5.0,-2.0,-0.1508771929824561,1
-178,0.0,1.5,51.0,2.5999999999999996,51.0,102.0,-1.0,3.0,-1.0,4.0,1.0,0.130952380952381,1
-492,0.0,0.8000000000000003,31.0,-0.3000000000000007,-42.0,-11.0,0.0,0.0,-1.0,9.0,-5.0,-0.1349206349206349,1
992,1.0,-2.4,-93.0,3.1000000000000005,159.0,66.0,7.0,-2.0,3.0,-2.0,2.0,0.0999999999999999,0
96,0.0,0.1999999999999997,18.0,0.8999999999999995,-1.0,17.0,5.0,-3.0,-1.0,-1.0,1.0,0.0285714285714285,1
62,-1.0,1.6999999999999995,89.0,-6.4,-64.0,25.0,4.0,4.0,0.0,-3.0,1.0,0.0,0
2,-1.0,4.4,142.0,-0.0999999999999996,17.0,159.0,6.0,0.0,3.0,2.0,-5.0,0.1134453781512604,0
-242,-1.0,2.5000000000000004,102.0,-0.8000000000000007,-175.0,-73.0,-8.0,-1.0,1.0,1.0,-1.0,0.0595238095238095,1
-1166,1.0,1.2000000000000002,-1.0,1.0,18.0,17.0,-8.0,3.0,1.0,2.0,5.0,-0.15,0
762,1.0,0.0,4.0,-1.3000000000000007,87.0,91.0,11.0,-1.0,0.0,0.0,2.0,0.0324675324675324,0
-82,2.0,2.4000000000000004,162.0,-1.5,-88.0,74.0,5.0,2.0,1.0,6.0,0.0,0.0615384615384615,1
160,1.0,0.7999999999999998,75.0,-3.500000000000001,-116.0,-41.0,4.0,4.0,1.0,-1.0,1.0,0.1666666666666666,1
128,1.0,-0.7000000000000002,-38.0,-0.3999999999999994,-104.0,-142.0,-9.0,-2.0,2.0,3.0,2.0,-0.0374999999999999,1
482,-2.0,-1.6000000000000003,-52.0,7.5,105.0,53.0,-7.0,-3.0,1.0,1.0,1.0,-0.1085972850678733,1
-114,-1.0,-2.7,-95.0,0.7000000000000011,53.0,-42.0,0.0,-3.0,-1.0,3.0,3.0,-0.1282051282051282,1
-910,0.0,-1.3000000000000005,-65.0,4.200000000000001,-140.0,-205.0,-18.0,0.0,1.0,6.0,3.0,-0.2375,0
526,1.0,-1.5000000000000004,-58.0,-1.0,38.0,-20.0,-5.0,-3.0,-3.0,-6.0,-1.0,-0.1212121212121212,0
704,0.0,-1.6,-56.0,1.9000000000000004,160.0,104.0,7.0,1.0,2.0,7.0,1.0,0.2606060606060606,0
-1156,0.0,0.8999999999999995,-10.0,3.5,-128.0,-138.0,-15.0,-1.0,-2.0,0.0,8.0,-0.1825396825396826,0
-96,-2.0,-1.4000000000000004,20.0,3.6000000000000005,-31.0,-11.0,1.0,-1.0,0.0,5.0,7.0,-0.3863636363636363,1
190,-1.0,-0.1,19.0,0.9000000000000004,-22.0,-3.0,-3.0,2.0,0.0,4.0,4.0,0.225563909774436,1
-596,-1.0,1.9000000000000004,-3.0,-2.5,-62.0,-65.0,-5.0,4.0,1.0,1.0,1.0,-0.2272727272727273,0
-300,2.0,-2.6000000000000005,-129.0,0.3000000000000007,65.0,-64.0,0.0,-1.0,0.0,-1.0,-3.0,0.0769230769230768,0
-112,-1.0,0.0,15.0,0.5999999999999996,-48.0,-33.0,-5.0,-2.0,3.0,0.0,4.0,-0.1964285714285714,1
-606,-1.0,-1.0999999999999996,-76.0,0.5,101.0,25.0,3.0,0.0,2.0,0.0,-5.0,0.0952380952380952,1
658,0.0,-1.7999999999999998,-40.0,4.5,139.0,99.0,7.0,-3.0,2.0,0.0,1.0,-0.0625,1
1456,-2.0,-0.8999999999999999,82.0,-0.9000000000000004,-58.0,24.0,9.0,-3.0,2.0,0.0,1.0,0.1666666666666666,1
64,-1.0,2.6999999999999997,182.0,-0.6000000000000005,-120.0,62.0,3.0,2.0,-1.0,0.0,-1.0,0.0559440559440559,1
-298,-2.0,0.5999999999999996,36.0,2.8000000000000007,-42.0,-6.0,-7.0,1.0,1.0,5.0,1.0,-0.082051282051282,1
-368,-1.0,0.7000000000000002,14.0,0.6999999999999993,15.0,29.0,-3.0,1.0,1.0,2.0,-5.0,0.0952380952380952,1
-284,-2.0,4.1000000000000005,71.0,-2.5999999999999996,-180.0,-109.0,-12.0,-5.0,-1.0,-2.0,1.0,-0.1258741258741259,0
-200,-2.0,-0.6999999999999997,-28.0,1.5,-33.0,-61.0,-3.0,-2.0,0.0,2.0,2.0,-0.0121212121212121,1
